User Acct,Tweet ID,Tweet Time,Favorite Count,Tweet Text,Compound SA,Positive SA,Neutral SA,Negative SA
bbcnews,BBC News (UK),Tue Nov 24 02:30:41 +0000 2020,4,Apple's security chief charged with bribery https://t.co/lbtjVoqK4d,0.1531,0.261,0.543,0.196
bbcnews,BBC News (UK),Tue Nov 24 02:28:26 +0000 2020,32,"Doctor Who, Call the Midwife and Mrs Brown on BBC Christmas TV line-up https://t.co/3sqE5eFhtC",0.0,0.0,1.0,0.0
bbcnews,BBC News (UK),Tue Nov 24 02:05:57 +0000 2020,19,Wolves 1-1 Southampton: Theo Walcott's first goal since rejoining Saints earns draw https://t.co/5KHw1ZzcFW,0.0,0.0,1.0,0.0
bbcnews,BBC News (UK),Tue Nov 24 02:05:57 +0000 2020,13,Burnley 1-0 Crystal Palace: Chris Wood goal gives Burnley first league win of season https://t.co/wqwKyCkvnW,0.5859,0.213,0.787,0.0
bbcnews,BBC News (UK),Tue Nov 24 02:05:57 +0000 2020,12,Stuart Hogg admits to 'schoolboy error' but praises Scotland after France loss https://t.co/MMYWucGb1V,0.34,0.31,0.45,0.24
bbcnews,BBC News (UK),Tue Nov 24 01:54:35 +0000 2020,55,Covid-19: Arrivals in England to be able to cut quarantine if they pay for test https://t.co/kSopjt5tA1,-0.3612,0.0,0.8,0.2
bbcnews,BBC News (UK),Tue Nov 24 01:05:11 +0000 2020,47,Newspaper headlines: 'Tis the season to be jolly careful' and Oxford vaccine news https://t.co/9VYToAnDC6,0.5994,0.29,0.71,0.0
bbcnews,BBC News (UK),Mon Nov 23 22:35:33 +0000 2020,24,"#BBCNewscast answers #BBCYourQuestions on today’s coronavirus developments
 
💉 When could the Oxford University vac… https://t.co/FFusoWihGg",0.0,0.0,1.0,0.0
bbcnews,BBC News (UK),Mon Nov 23 22:32:07 +0000 2020,77,Covid-19: Boris Johnson faces political test over new tier system https://t.co/LHEqhpzUGI,0.0,0.0,1.0,0.0
bbcnews,BBC News (UK),Mon Nov 23 22:05:02 +0000 2020,2297,Michigan votes to certify Biden's win over Trump https://t.co/fsYoqIx0yb,0.5859,0.322,0.678,0.0
bbcnews,BBC News (UK),Mon Nov 23 21:33:31 +0000 2020,117,Chinese spacecraft sets off on Moon sample quest https://t.co/UGoSnwn9nb,0.0,0.0,1.0,0.0
bbcnews,BBC News (UK),Mon Nov 23 21:29:11 +0000 2020,130,Grenfell Tower: Cladding firm 'stretched the truth' on fire safety https://t.co/mb5UPmPpn1,0.4019,0.329,0.516,0.155
bbcnews,BBC News (UK),Mon Nov 23 21:02:08 +0000 2020,135,Labour chief whip demands apology from Jeremy Corbyn https://t.co/BIlfNRwSpq,0.0516,0.13,0.87,0.0
bbcnews,BBC News (UK),Mon Nov 23 20:28:15 +0000 2020,47,Snapchat Spotlight to pay users $1m a day for viral hits https://t.co/Z1yzXwCiJ0,-0.1027,0.0,0.887,0.113
bbcnews,BBC News (UK),Mon Nov 23 19:46:04 +0000 2020,138,"“The Christmas holiday period, the loosenings around that… we all know that that is going to come at a risk”

Prof… https://t.co/Fdm7jRCxy0",0.4019,0.114,0.886,0.0
bbcnews,BBC News (UK),Mon Nov 23 19:36:36 +0000 2020,342,"""There will be no compulsory vaccination, that's not the way we do things in this country""

But, Prime Minister Bor… https://t.co/XxcR5WijGx",-0.1531,0.0,0.926,0.074
